playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
1629630,"Ja Morant",0.83,85,-0.3,346,1.13,38,-0.32,343,-1.12,493,0.8,42,-0.18,317,-0.63,445,0.45,81,0.64,123,-0.08,277,0.73,75,1.05,18,0.59,33,0.46,61,0.46,159,-1.55,474,2.01,20,"2020-21",1610612763,"MEM","1629630_2020-21"
1629633,"Jarrett Culver",-0.02,242,0.53,102,-0.55,398,-0.75,427,0.28,122,-1.03,489,1.06,38,0.26,138,0.8,30,-0.16,288,-0.56,409,0.4,138,0.8,36,0.41,68,0.4,75,-0.6,340,0.73,85,-1.33,454,"2020-21",1610612750,"MIN","1629633_2020-21"
1629669,"Jaylen Nowell",0.01,233,-0.24,327,0.25,155,-0.28,329,-0.11,320,-0.17,304,-0.79,424,-1.05,480,0.27,137,-0.95,407,-0.8,446,-0.16,302,0.46,88,0.03,218,0.42,69,-0.54,334,-0.59,392,0.04,208,"2020-21",1610612750,"MIN","1629669_2020-21"
1626192,"Pat Connaughton",0.56,122,-0.11,282,0.67,87,1.25,27,0.66,35,0.59,66,0.26,166,-0.27,350,0.53,64,0.17,216,-0.09,279,0.25,168,-0.09,289,-0.17,354,0.08,193,2.4,22,0.94,68,1.45,46,"2020-21",1610612749,"MIL","1626192_2020-21"
1626195,"Willy Hernangomez",0.26,175,-0.8,437,1.06,42,-0.32,346,-0.66,459,0.34,122,0.19,189,0.26,139,-0.07,284,1.07,69,0.18,183,0.89,61,0.53,73,-0.33,408,0.85,15,0.15,200,-1.29,457,1.44,47,"2020-21",1610612740,"NOP","1626195_2020-21"
1626196,"Josh Richardson",-0.38,322,-0.82,440,0.43,122,-0.7,417,-0.69,461,0.01,227,0.26,167,0.37,104,-0.11,305,-0.72,377,-0.05,267,-0.67,411,0.07,213,-0.22,375,0.29,102,-0.95,393,-1.11,447,0.17,184,"2020-21",1610612742,"DAL","1626196_2020-21"
1626204,"Larry Nance Jr.",0.59,120,2.04,2,-1.45,487,-0.14,279,0.09,208,-0.23,325,0.44,118,0.79,40,-0.35,380,0.5,150,0.64,82,-0.14,296,0.16,176,0.88,11,-0.72,474,-0.34,293,1.43,29,-1.77,480,"2020-21",1610612739,"CLE","1626204_2020-21"
1629716,"Marques Bolden",0.29,169,0.46,121,-0.17,282,-0.19,304,0.16,176,-0.35,374,0.55,95,0.26,137,0.29,127,0.48,152,0.46,118,0.01,245,0.36,114,0.29,100,0.07,197,0.19,196,0.63,103,-0.44,323,"2020-21",1610612739,"CLE","1629716_2020-21"
1629735,"Chris Silva",-0.05,251,-0.04,259,-0.02,225,0.09,194,-0.05,287,0.14,169,0.06,230,-0.19,318,0.24,146,0.62,129,0.99,42,-0.38,357,-0.29,369,-0.13,334,-0.16,347,-0.04,232,-0.02,260,-0.02,227,"2020-21",1610612748,"MIA","1629735_2020-21"
1628978,"Donte DiVincenzo",2.47,8,1.03,38,1.44,23,0.39,129,0.01,249,0.38,111,1.87,5,1.35,9,0.52,66,1.46,42,0.74,70,0.72,76,1.47,6,0.39,72,1.08,3,2.46,19,0.73,86,1.73,32,"2020-21",1610612749,"MIL","1628978_2020-21"
